metros_cuadrados,habitaciones,precio_alquiler,barrio,precio_barrio,precio_metro_cuadrado,precio_habitacion,precio_metro_habitacion
149.0,4,1966,"Pueblo Nuevo, Madrid",962.0460992907801,13.194630872483222,491.5,3.2986577181208054
70.0,2,868,"Ciudad Lineal, Madrid",388.4214285714286,12.4,434.0,6.2
81.0,3,884,"Ciudad Lineal, Madrid",388.4214285714286,10.91358024691358,294.6666666666667,3.6378600823045266
78.0,3,725,"Ventas, Madrid",908.5194805194806,9.294871794871796,241.66666666666666,3.0982905982905984
52.0,2,751,"Ventas, Madrid",908.5194805194806,14.442307692307692,375.5,7.221153846153846
54.0,2,666,"Ventas, Madrid",908.5194805194806,12.333333333333334,333.0,6.166666666666667
89.0,3,1172,"Quintana, Madrid",1027.0258620689656,13.168539325842696,390.6666666666667,4.389513108614232
82.0,3,881,"Ciudad Lineal, Madrid",388.4214285714286,10.74390243902439,293.6666666666667,3.5813008130081303
159.0,3,2115,"Colina, Madrid",1610.640625,13.30188679245283,705.0,4.433962264150943
114.0,3,1092,"Quintana, Madrid",1027.0258620689656,9.578947368421053,364.0,3.192982456140351
77.0,3,1009,"Ciudad Lineal, Madrid",388.4214285714286,13.103896103896103,336.3333333333333,4.367965367965368
38.0,1,662,"San Pascual, Madrid",1339.9,17.42105263157895,662.0,17.42105263157895
65.0,3,868,"Ventas, Madrid",908.5194805194806,13.353846153846154,289.3333333333333,4.4512820512820515
72.0,2,1018,"Concepción, Madrid",1230.851851851852,14.13888888888889,509.0,7.069444444444445
140.0,4,1667,"Costillares, Madrid",1403.5454545454545,11.907142857142857,416.75,2.976785714285714
108.0,4,1094,"Pueblo Nuevo, Madrid",962.0460992907801,10.12962962962963,273.5,2.5324074074074074
116.0,3,1467,"Concepción, Madrid",1230.851851851852,12.64655172413793,489.0,4.2155172413793105
85.0,2,1346,"Ciudad Lineal, Madrid",388.4214285714286,15.83529411764706,673.0,7.91764705882353
55.0,2,755,"Ventas, Madrid",908.5194805194806,13.727272727272727,377.5,6.863636363636363
96.0,2,1560,"Costillares, Madrid",1403.5454545454545,16.25,780.0,8.125
48.0,2,740,"Ventas, Madrid",908.5194805194806,15.416666666666666,370.0,7.708333333333333
52.0,1,827,"Ventas, Madrid",908.5194805194806,15.903846153846153,827.0,15.903846153846153
51.0,2,638,"Ventas, Madrid",908.5194805194806,12.509803921568627,319.0,6.254901960784314
50.0,2,704,"Pueblo Nuevo, Madrid",962.0460992907801,14.08,352.0,7.04
130.0,4,1850,"Ciudad Lineal, Madrid",388.4214285714286,14.23076923076923,462.5,3.5576923076923075
238.0,5,2495,"San Juan Bautista, Madrid",1160.8461538461538,10.483193277310924,499.0,2.096638655462185
400.0,4,2360,"Ciudad Lineal, Madrid",388.4214285714286,5.9,590.0,1.475
77.0,3,758,"Ventas, Madrid",908.5194805194806,9.844155844155845,252.66666666666666,3.2813852813852815
85.0,3,1250,"Concepción, Madrid",1230.851851851852,14.705882352941176,416.6666666666667,4.901960784313726
50.0,2,851,"Quintana, Madrid",1027.0258620689656,17.02,425.5,8.51
54.0,2,686,"Ventas, Madrid",908.5194805194806,12.703703703703704,343.0,6.351851851851852
212.0,4,2234,"Costillares, Madrid",1403.5454545454545,10.537735849056604,558.5,2.634433962264151
64.0,3,638,"Ventas, Madrid",908.5194805194806,9.96875,212.66666666666666,3.3229166666666665
52.0,2,702,"Ventas, Madrid",908.5194805194806,13.5,351.0,6.75
117.0,3,1416,"Ventas, Madrid",908.5194805194806,12.102564102564102,472.0,4.034188034188034
89.0,4,813,"Costillares, Madrid",1403.5454545454545,9.134831460674157,203.25,2.283707865168539
50.0,2,649,"Pueblo Nuevo, Madrid",962.0460992907801,12.98,324.5,6.49
108.0,4,1094,"Pueblo Nuevo, Madrid",962.0460992907801,10.12962962962963,273.5,2.5324074074074074
67.0,3,758,"Pueblo Nuevo, Madrid",962.0460992907801,11.313432835820896,252.66666666666666,3.771144278606965
74.0,3,1108,"Pueblo Nuevo, Madrid",962.0460992907801,14.972972972972974,369.3333333333333,4.990990990990991
98.0,3,1135,"Quintana, Madrid",1027.0258620689656,11.581632653061224,378.3333333333333,3.860544217687075
145.0,3,1873,"San Juan Bautista, Madrid",1160.8461538461538,12.917241379310346,624.3333333333334,4.305747126436781
187.0,3,773,"San Pascual, Madrid",1339.9,4.133689839572193,257.6666666666667,1.3778966131907309
170.0,3,959,"San Pascual, Madrid",1339.9,5.641176470588236,319.6666666666667,1.880392156862745
86.0,3,878,"Ventas, Madrid",908.5194805194806,10.209302325581396,292.6666666666667,3.4031007751937983
85.0,2,725,"Ventas, Madrid",908.5194805194806,8.529411764705882,362.5,4.264705882352941
194.0,4,2295,"Costillares, Madrid",1403.5454545454545,11.829896907216495,573.75,2.957474226804124
93.0,2,1135,"Pueblo Nuevo, Madrid",962.0460992907801,12.204301075268818,567.5,6.102150537634409
260.0,5,2504,"Costillares, Madrid",1403.5454545454545,9.63076923076923,500.8,1.926153846153846
65.0,2,1233,"Ciudad Lineal, Madrid",388.4214285714286,18.96923076923077,616.5,9.484615384615385
87.0,3,1164,"Ciudad Lineal, Madrid",388.4214285714286,13.379310344827585,388.0,4.459770114942529
72.0,2,1067,"Concepción, Madrid",1230.851851851852,14.819444444444445,533.5,7.409722222222222
91.0,2,1370,"San Juan Bautista, Madrid",1160.8461538461538,15.054945054945055,685.0,7.527472527472527
163.0,4,2192,"Costillares, Madrid",1403.5454545454545,13.447852760736197,548.0,3.361963190184049
77.0,3,933,"Pueblo Nuevo, Madrid",962.0460992907801,12.116883116883116,311.0,4.038961038961039
72.0,2,964,"Concepción, Madrid",1230.851851851852,13.38888888888889,482.0,6.694444444444445
55.0,2,917,"Ventas, Madrid",908.5194805194806,16.672727272727272,458.5,8.336363636363636
93.0,3,912,"Ventas, Madrid",908.5194805194806,9.806451612903226,304.0,3.2688172043010755
260.0,6,1313,"Concepción, Madrid",1230.851851851852,5.05,218.83333333333334,0.8416666666666667
60.0,2,662,"Pueblo Nuevo, Madrid",962.0460992907801,11.033333333333333,331.0,5.516666666666667
71.0,2,705,"Pueblo Nuevo, Madrid",962.0460992907801,9.929577464788732,352.5,4.964788732394366
50.0,1,773,"Ciudad Lineal, Madrid",388.4214285714286,15.46,773.0,15.46
50.0,2,851,"Quintana, Madrid",1027.0258620689656,17.02,425.5,8.51
74.0,3,725,"Pueblo Nuevo, Madrid",962.0460992907801,9.797297297297296,241.66666666666666,3.265765765765766
79.0,3,847,"Pueblo Nuevo, Madrid",962.0460992907801,10.721518987341772,282.3333333333333,3.5738396624472575
50.0,1,773,"Ventas, Madrid",908.5194805194806,15.46,773.0,15.46
55.0,1,762,"Ventas, Madrid",908.5194805194806,13.854545454545455,762.0,13.854545454545455
83.0,3,1006,"Quintana, Madrid",1027.0258620689656,12.120481927710843,335.3333333333333,4.040160642570281
173.0,4,1496,"Pueblo Nuevo, Madrid",962.0460992907801,8.647398843930636,374.0,2.161849710982659
57.0,2,625,"Ciudad Lineal, Madrid",388.4214285714286,10.964912280701755,312.5,5.482456140350878
62.0,3,813,"Pueblo Nuevo, Madrid",962.0460992907801,13.112903225806452,271.0,4.370967741935484
73.0,2,751,"Pueblo Nuevo, Madrid",962.0460992907801,10.287671232876713,375.5,5.1438356164383565
82.0,3,884,"Ciudad Lineal, Madrid",388.4214285714286,10.78048780487805,294.6666666666667,3.5934959349593494
161.0,3,1341,"San Pascual, Madrid",1339.9,8.329192546583851,447.0,2.7763975155279503
145.0,3,2129,"Costillares, Madrid",1403.5454545454545,14.682758620689656,709.6666666666666,4.894252873563218
116.0,4,1843,"Pueblo Nuevo, Madrid",962.0460992907801,15.887931034482758,460.75,3.9719827586206895
179.0,4,2512,"San Juan Bautista, Madrid",1160.8461538461538,14.033519553072626,628.0,3.5083798882681565
60.0,1,678,"Pueblo Nuevo, Madrid",962.0460992907801,11.3,678.0,11.3
145.0,4,1758,"San Pascual, Madrid",1339.9,12.124137931034483,439.5,3.0310344827586206
55.0,2,1038,"Concepción, Madrid",1230.851851851852,18.87272727272727,519.0,9.436363636363636
194.0,5,2438,"Atalaya, Madrid",1920.7777777777778,12.56701030927835,487.6,2.51340206185567
194.0,4,2458,"Atalaya, Madrid",1920.7777777777778,12.670103092783505,614.5,3.167525773195876
169.0,3,2378,"Atalaya, Madrid",1920.7777777777778,14.071005917159763,792.6666666666666,4.6903353057199215
158.0,3,2182,"Atalaya, Madrid",1920.7777777777778,13.810126582278482,727.3333333333334,4.60337552742616
74.0,3,910,"Ventas, Madrid",908.5194805194806,12.297297297297296,303.3333333333333,4.099099099099099
404.0,5,1113,"San Juan Bautista, Madrid",1160.8461538461538,2.754950495049505,222.6,0.550990099009901
59.0,2,503,"Pueblo Nuevo, Madrid",962.0460992907801,8.525423728813559,251.5,4.262711864406779
150.0,4,2070,"Atalaya, Madrid",1920.7777777777778,13.8,517.5,3.45
113.0,3,1346,"Pueblo Nuevo, Madrid",962.0460992907801,11.91150442477876,448.6666666666667,3.9705014749262535
112.0,3,1416,"Pueblo Nuevo, Madrid",962.0460992907801,12.642857142857142,472.0,4.214285714285714
70.0,3,1024,"Ventas, Madrid",908.5194805194806,14.628571428571428,341.3333333333333,4.876190476190477
267.0,4,2300,"San Juan Bautista, Madrid",1160.8461538461538,8.614232209737828,575.0,2.153558052434457
134.0,4,1599,"Concepción, Madrid",1230.851851851852,11.932835820895523,399.75,2.9832089552238807
